material_id,material_name,band_gap,formation_energy_per_atom,energy_above_hull,efermi,is_metal,density,volume,nsites,spacegroup_number,bulk_modulus
mp-10018,PEO,0.0,0.0216390625,0.0216390625,6.20071114,1,8.157868481081163,46.205987384126566,1,225,197.65198061667095
mp-1183057,PAN,0.0,0.015585797500004002,0.015585797500008,6.15524333,1,8.313273945401516,136.02668597010646,3,152,82.83161706267275
mp-1183069,PVDF,0.0,0.011821722500002001,0.011821722500002001,6.28655876,1,8.144760170385736,138.84105617575773,3,166,96.94550665203657
mp-862690,PAN,0.0,0.0,0.0,6.1281104,1,8.17018178829182,184.54540076862065,4,194,13.27873134006131
mp-861724,PAN,0.0,-0.413285237500005,0.08711758447916601,6.54635054,1,11.36726437762304,110.1573687869758,4,225,169.5448138871146
mp-1183076,PAN,0.0,-0.48027804250000306,0.0,6.13266239,1,9.490475602624924,134.56309719889316,4,225,106.21402581130026
mp-1207297,PMMA,0.0,-1.460072974,1.242843714666666,-0.13890028000000001,1,3.512584302253199,297.73514374101035,5,123,183.22403301676115
mp-1183068,PMMA,0.0,-0.40283124874999704,0.027136786875004003,5.12639259,1,8.243209586617187,128.14491097102075,4,225,73.75645490191766
mp-1183063,PMMA,0.0,-0.46480851375000004,0.05905399421875,5.76222364,1,8.44954191431781,125.58895639675303,4,225,72.43106319415405
mp-1183086,PLA,0.0,-0.43368235062500504,0.0,5.17959558,1,9.570976516145288,133.07264127884656,4,225,84.35547755469929
mp-862319,PLA,0.0,-0.5426539487500001,0.07460025710229701,5.96407139,1,8.37029263624578,135.91761187913772,4,225,99.23056449850536
mp-1207291,PEO,0.0,-1.622560442000001,1.313464733,-0.09121875,1,3.166314983503059,283.6718875773945,5,123,75.66783644309385
mp-862786,PVDF,0.0,-0.386251328749999,0.0,6.20896401,1,8.59830517904435,113.97907949916606,4,225,24.758910018158744
mp-861883,PEO,0.0,-0.342298746250001,0.0,7.14504033,1,11.322189909338377,104.09551499883716,4,225,151.63635343303446
mp-1183120,PAN,0.0,-0.016838317499995002,0.0030135806250080003,6.82981152,1,9.971867965777491,103.01340117510605,4,225,24.995376372000663
mp-867122,PLA,0.0,-0.27116471749999904,0.11074834515624501,6.76698989,1,8.064008692611875,112.35632999102056,4,225,91.72926610262492
mp-865470,PAN,0.0,-0.37453171624999704,0.14242658500000202,6.80725945,1,8.371543611775841,126.20467542837422,4,225,36.46149288213894
mp-862683,PAN,0.0,-0.287378448749997,0.015807976562498,6.23088656,1,8.414438900311154,115.89401606648477,4,225,77.91397400674519
mp-1183054,PMMA,0.0,-0.417242170000001,0.221917584374999,6.20967477,1,7.778297165108811,117.80207828034655,4,225,190.20927557991274
mp-867241,PLA,0.0,-0.665207049999995,0.0,6.34211032,1,9.154250739096147,114.83417829186412,4,225,166.97327119069897
mp-861872,PEO,0.0,-0.583250138125002,0.0,5.6623405,1,9.670946624304037,124.86821324902324,4,225,25.592396907721167
mp-1183377,PEO,0.0,-0.5060674862499961,0.0,5.88697277,1,8.116507450125557,130.63775061395748,4,225,102.75229251103433
mp-865951,PAN,0.0,-0.695376886249995,0.0,6.8065001,1,12.810759614228811,109.29400744391403,4,225,191.5641960769116
mp-866107,PEO,0.0,-0.6663974312499971,0.0,6.92651032,1,11.92706591012911,104.7854644961122,4,225,84.95590166615104
mp-1183093,PMMA,0.0,-0.534733513749998,0.0,7.11146128,1,12.266179147529508,101.41276773783284,4,225,10.621865076359834
mp-1183085,PAN,0.0,-0.006879308333334001,0.033049974166663006,5.26585694,1,6.748691045089812,235.37724069558234,6,63,119.79428537096196
mp-1183089,PAN,0.0,-0.01975081833334,0.020178464166657,5.29800374,1,6.781411421394513,234.24154321160074,6,12,47.08875618808615
mp-985286,PAN,0.0,-0.006998733333333,0.032930549166664005,5.30984922,1,6.791641239563196,116.94436002058241,3,139,82.05648320219616
mp-1183074,PVDF,0.0,-0.228840256874998,0.0,5.3624553,1,7.055287093922438,128.9843902134862,4,225,71.68490553952259
mp-1183078,PVDF,0.0,-0.26746134000000005,0.0,6.06368497,1,8.045456041810434,141.4845630793459,4,225,175.624175947713
mp-866103,PMMA,0.0,-0.344917513749998,0.0,6.33678949,1,7.178167068725801,138.1086176115119,4,225,129.88904619406946
mp-1183079,PEO,0.0,-0.19924529333333202,0.0,5.86030696,1,8.085059245187924,140.21302232701095,4,225,45.92088608114889
mp-983587,PVDF,0.0,-0.34378095625000704,0.103388868906243,6.98621032,1,8.81890449891407,110.21425368712057,4,225,164.37799509953143
mp-862849,PLA,0.0,-0.324698736250006,0.0,7.17864014,1,11.66664295683749,100.33145455665266,4,225,17.931253901072644
mp-11107,PLA,3.522599999999999,-3.737668289999997,0.0,4.69645087,0,9.109129867325775,91.51122386046316,5,164,23.862327550840966
mp-32800,PAN,2.2962,-2.4930635934375,0.0,5.79182041,0,6.535149338291522,1118.407852007047,40,122,107.71585498985434
mp-977351,PEO,3.0275,-2.440363970687502,0.052699622749997004,3.0080895,0,5.562970721400395,328.4648931310559,10,167,37.065014363930906
mp-862698,PVDF,0.0,-0.6415023025000011,0.087466920961524,6.73987775,1,9.576407649547766,117.7469182698491,4,225,21.944979177152867
mp-983586,PLA,0.0,-0.461455381875005,0.05358062644442801,6.17861374,1,9.212666158817267,123.04899776225282,4,225,170.13657598041465
mp-865855,PLA,0.0,-0.6024802275000021,0.0,6.92562069,1,8.61022870876441,113.49714470002762,4,225,164.17723586915173
mp-864795,PMMA,0.0,-0.645805788125002,0.037804611590921,6.24626526,1,9.533838808198968,134.68812364411662,4,225,62.87520481456114
